METER NUMBER,BLOCK/LIMITS,STREET,SIDE,DISTRICT,MANUFACTURER,MODEL,RATE,FROM DAY,TO DAY,FROM TIME,TO TIME,LIMIT HR,LIMIT MIN,TIMER,STATUS,INSTALLED,MAINTENANCE ROUTE
CAL01,LOT,CALLOWHILL,N,80,METRIC,P&D,$8.00 ,SUN,SAT,0600A,1159P,24,,24HR,"I		",12/17/14,1-NEQ
12F040,401,RACE,N,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0800P,3,,24HR,"I		",11/19/10,1-NEQ
12F042,1300,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",3/1/11,1-NEQ
12F042,1300,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",3/1/11,1-NEQ
12F043,1300,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",3/1/11,1-NEQ
12F043,1300,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",3/1/11,1-NEQ
12F044,1300,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",3/1/11,1-NEQ
12F044,1300,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",3/1/11,1-NEQ
1229001,200,N 13,W,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,1HR,"I		",1/1/82,1-NEQ
1229002,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229003,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229004,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229005,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229006,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229007,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229008,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229009,200,N 13,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229015,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,1HR,"I		",1/1/82,1-NEQ
1229016,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229017,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229018,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229019,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229020,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229021,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229022,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229023,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229024,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229027,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229028,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,1HR,"I		",1/1/82,1-NEQ
1229029,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229030,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229031,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
1229032,1201,SUMMER,N,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,1,,2HR,"I		",1/1/82,1-NEQ
